"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"3033","Bachelors Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"3034","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3035","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3036","Bachelors Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"3037","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3038","Bachelors Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"3039","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3040","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"3041","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"3042","Associate / Junior College","Very Satisfied","Lower Class","Not Satisfied at All","Above Average"
"3043","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"3044","High School","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"3045","Less Than High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"3046","High School","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"3047","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"3048","Less Than High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3049","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"3050","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"3051","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"3052","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"3053","Less Than High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3054","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3055","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"3056","High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"3057","Graduate Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"3058","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"3059","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"3060","High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"3061","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Above Average"
"3062","High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Above Average"
"3063","Less Than High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"3064","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"3065","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"3066","Associate / Junior College","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"3067","Associate / Junior College","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"3068","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"3069","High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3070","High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"3071","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Below Average"
"3072","Graduate Degree","Very Satisfied","Working Class","More or Less Satisfied","Average"
"3073","Bachelors Degree","Very Satisfied","Upper Class","Not Satisfied at All","Average"
"3074","Bachelors Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"3075","Associate / Junior College","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"3076","High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"3077","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"3078","Bachelors Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"3079","Associate / Junior College","Very Dissatisfied","Lower Class","More or Less Satisfied","Below Average"
"3080","Graduate Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"3081","Graduate Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Below Average"
"3082","Bachelors Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"3083","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"3084","High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3085","Graduate Degree","Very Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3086","High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3087","Bachelors Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"3088","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Average"
"3089","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"3090","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"3091","High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3092","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"3093","Associate / Junior College","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3094","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Average"
"3095","Less Than High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3096","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"3097","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3098","Associate / Junior College","Very Satisfied","Lower Class","More or Less Satisfied","Above Average"
"3099","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Average"
"3100","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3101","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Below Average"
"3102","Less Than High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"3103","Bachelors Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Below Average"
"3104","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"3105","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3106","Less Than High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3107","Bachelors Degree","Very Satisfied","Lower Class","Not Satisfied at All","Above Average"
"3108","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3109","High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"3110","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3111","High School","Very Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3112","Bachelors Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"3113","High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Below Average"
"3114","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"3115","Graduate Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"3116","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"3117","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"3118","Graduate Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"3119","Less Than High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"3120","Graduate Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"3121","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"3122","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3123","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"3124","Less Than High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3125","Less Than High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3126","Graduate Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"3127","Bachelors Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3128","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3129","High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3130","Bachelors Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"3131","Bachelors Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"3132","Bachelors Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Average"
"3133","High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3134","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"3135","Associate / Junior College","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"3136","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"3137","High School","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"3138","Bachelors Degree","Very Satisfied","Lower Class","Not Satisfied at All","Below Average"
"3139","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"3140","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3141","Less Than High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"3142","Associate / Junior College","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"3143","High School","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"3144","High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"3145","Graduate Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"3146","Graduate Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"3147","Less Than High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3148","Less Than High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"3149","Bachelors Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3150","Associate / Junior College","Very Satisfied","Lower Class","More or Less Satisfied","Above Average"
"3151","High School","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"3152","High School","Very Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"3153","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"3154","Less Than High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Above Average"
"3155","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"3156","High School","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"3157","Bachelors Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"3158","Graduate Degree","Very Satisfied","Lower Class","Not Satisfied at All","Above Average"
"3159","Bachelors Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"3160","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"3161","Associate / Junior College","Very Satisfied","Lower Class","Not Satisfied at All","Above Average"
"3162","Bachelors Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"3163","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"3164","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"3165","Graduate Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3166","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"3167","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"3168","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Above Average"
"3169","Less Than High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3170","Associate / Junior College","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"3171","Graduate Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"3172","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Below Average"
"3173","Graduate Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"3174","High School","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"3175","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3176","Bachelors Degree","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"3177","High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"3178","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"3179","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"3180","High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3181","Graduate Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"3182","Less Than High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"3183","Less Than High School","Very Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3184","Less Than High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"3185","Bachelors Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Below Average"
"3186","Associate / Junior College","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"3187","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"3188","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"3189","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3190","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"3191","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3192","Associate / Junior College","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"3193","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"3194","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"3195","Associate / Junior College","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"3196","Bachelors Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"3197","Associate / Junior College","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"3198","Associate / Junior College","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"3199","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Above Average"
"3200","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"3201","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3202","Graduate Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3203","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3204","Associate / Junior College","Moderately Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3205","High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"3206","Associate / Junior College","A Little Dissatisfied","Lower Class","More or Less Satisfied","Below Average"
"3207","Graduate Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"3208","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"3209","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"3210","High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"3211","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"3212","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3213","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"3214","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"3215","High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"3216","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"3217","Less Than High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Average"
"3218","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Above Average"
"3219","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3220","Graduate Degree","Very Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"3221","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"3222","Bachelors Degree","Very Satisfied","Middle Class","More or Less Satisfied","Above Average"
"3223","High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Average"
"3224","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3225","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"3226","Associate / Junior College","Very Satisfied","Middle Class","More or Less Satisfied","Average"
"3227","Associate / Junior College","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"3228","Bachelors Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"3229","High School","Very Satisfied","Working Class","Not Satisfied at All","Average"
"3230","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"3231","High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"3232","Bachelors Degree","Very Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"3233","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"3234","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3235","Less Than High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Above Average"
"3236","High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3237","Less Than High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"3238","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"3239","Graduate Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"3240","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"3241","High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"3242","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3243","Graduate Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3244","Associate / Junior College","Moderately Satisfied","Lower Class","Not Satisfied at All","Above Average"
"3245","Graduate Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"3246","High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"3247","High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"3248","Bachelors Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"3249","High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3250","Graduate Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"3251","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"3252","Less Than High School","Very Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"3253","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3254","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"3255","High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"3256","Associate / Junior College","Very Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"3257","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Average"
"3258","Associate / Junior College","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"3259","Graduate Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"3260","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Average"
"3261","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"3262","Graduate Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"3263","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3264","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"3265","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"3266","Bachelors Degree","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3267","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3268","Less Than High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"3269","Bachelors Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"3270","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"3271","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"3272","High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"3273","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"3274","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Average"
"3275","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"3276","Graduate Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3277","Graduate Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Below Average"
"3278","Bachelors Degree","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"3279","Graduate Degree","Very Satisfied","Lower Class","Not Satisfied at All","Below Average"
"3280","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3281","Associate / Junior College","Very Satisfied","Lower Class","Not Satisfied at All","Average"
"3282","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"3283","High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"3284","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"3285","High School","Very Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"3286","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3287","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"3288","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"3289","Associate / Junior College","Very Satisfied","Lower Class","More or Less Satisfied","Below Average"
"3290","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"3291","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"3292","Associate / Junior College","Moderately Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"3293","Bachelors Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3294","Bachelors Degree","Very Satisfied","Upper Class","Not Satisfied at All","Below Average"
"3295","High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"3296","Graduate Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"3297","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3298","High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"3299","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"3300","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"3301","High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3302","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"3303","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3304","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"3305","High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"3306","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"3307","Less Than High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"3308","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Above Average"
"3309","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"3310","Bachelors Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Above Average"
"3311","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"3312","Bachelors Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Below Average"
"3313","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"3314","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"3315","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"3316","Associate / Junior College","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"3317","Less Than High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Average"
"3318","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"3319","Less Than High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"3320","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Average"
"3321","Less Than High School","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"3322","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"3323","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"3324","High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"3325","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"3326","Graduate Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"3327","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"3328","Less Than High School","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"3329","Bachelors Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"3330","Graduate Degree","Very Satisfied","Upper Class","Not Satisfied at All","Below Average"
"3331","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"3332","High School","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"3333","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"3334","Graduate Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"3335","Graduate Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"3336","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"3337","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"3338","Graduate Degree","Very Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"3339","Less Than High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Average"
"3340","Graduate Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"3341","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Average"
"3342","Less Than High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"3343","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"3344","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"3345","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"3346","Bachelors Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"3347","High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"3348","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"3349","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"3350","High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Average"
